港口,起运拖车20USD,起运拖车40USD,目的拖车20USD,目的拖车40USD,数据来源
Abidjan,300,380,400,500,MOCK
Abu Dhabi,300,380,400,500,MOCK
Acajutla,300,380,400,500,MOCK
Adelaide,300,380,400,500,MOCK
Ajman,300,380,400,500,MOCK
Alexandria,300,380,400,500,MOCK
Algeciras,300,380,400,500,MOCK
Algecirus,300,380,400,500,MOCK
Alger,300,380,400,500,MOCK
Aliaga,300,380,400,500,MOCK
Altamira,300,380,400,500,MOCK
Ancona,300,380,400,500,MOCK
Antwerp,300,380,400,500,MOCK
Apapa,300,380,400,500,MOCK
Aqaba,300,380,400,500,MOCK
Arica,300,380,400,500,MOCK
Ashdod,300,380,400,500,MOCK
Auckland,300,380,400,500,MOCK
Bahrain,300,380,400,500,MOCK
Balboa,300,380,400,500,MOCK
Baltimore,300,380,400,500,MOCK
Bangkok,300,380,400,500,MOCK
Barcelona,300,380,400,500,MOCK
Bari,300,380,400,500,MOCK
Barranquilla,300,380,400,500,MOCK
Beira,300,380,400,500,MOCK
Beirut,300,380,400,500,MOCK
Bell Bay,300,380,400,500,MOCK
Bilbao,300,380,400,500,MOCK
Boston,300,380,400,500,MOCK
Bremerhaven,300,380,400,500,MOCK
Brisbane,300,380,400,500,MOCK
Buenaventura,300,380,400,500,MOCK
Buenos Aires,300,380,400,500,MOCK
Busan,300,380,400,500,MOCK
Cai Mep,300,380,400,500,MOCK
Callao,300,380,400,500,MOCK
Cape Town,300,380,400,500,MOCK
Capetown,300,380,400,500,MOCK
Cartagena,300,380,400,500,MOCK
Casablanca,300,380,400,500,MOCK
Caucedo,300,380,400,500,MOCK
Cct,300,380,400,500,MOCK
Cebu,300,380,400,500,MOCK
Chancay,300,380,400,500,MOCK
Charleston,300,380,400,500,MOCK
Chennai,300,380,400,500,MOCK
Chittagong,300,380,400,500,MOCK
Colombo,300,380,400,500,MOCK
Colon,300,380,400,500,MOCK
Colon Container T.,300,380,400,500,MOCK
Constanta,300,380,400,500,MOCK
Corinto,300,380,400,500,MOCK
Cotonou,300,380,400,500,MOCK
Da Nang,300,380,400,500,MOCK
Dakar,300,380,400,500,MOCK
Dalian,300,380,400,500,MOCK
Dameitta,300,380,400,500,MOCK
Damietta,300,380,400,500,MOCK
Dammam,300,380,400,500,MOCK
Damman,300,380,400,500,MOCK
Danang,300,380,400,500,MOCK
Dar Es Salaam,300,380,400,500,MOCK
Darwin,300,380,400,500,MOCK
Davao,300,380,400,500,MOCK
Derince,300,380,400,500,MOCK
Djibouti,300,380,400,500,MOCK
Dublin,300,380,400,500,MOCK
Dunkerque,300,380,400,500,MOCK
Dunkirk,300,380,400,500,MOCK
Durban,300,380,400,500,MOCK
Durres,300,380,400,500,MOCK
Ensenada,300,380,400,500,MOCK
Felixstowe,300,380,400,500,MOCK
Fos,300,380,400,500,MOCK
