起运港,目的港,箱型,海运费USD,附加费USD,运输天数,运价有效期,数据来源
Abidjan,Algeciras,20GP,1750,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Algeciras,40GP,1900,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Algeciras,40HQ,1900,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Algeciras,40RF,3500,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Algeciras,40OT,2360,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Algeciras,40FR,2540,150,10,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,20GP,700,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,40GP,760,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,40HQ,760,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,40RF,1400,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,40OT,950,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Dakar,40FR,1020,150,4,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,20GP,5420,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,40GP,5890,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,40HQ,5890,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,40RF,10850,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,40OT,7320,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Qingdao,40FR,7870,150,31,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,20GP,3850,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,40GP,4180,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,40HQ,4180,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,40RF,7700,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,40OT,5200,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Singapore,40FR,5580,150,22,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,20GP,180,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,40GP,190,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,40HQ,190,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,40RF,350,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,40OT,240,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tema,40FR,250,150,1,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,20GP,2800,150,16,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,40GP,3040,150,16,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,40HQ,3040,150,16,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,40RF,5600,150,16,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,40OT,3780,150,16,MOCK (replace with real 运价有效期),MOCK
Abidjan,Tibury,40FR,4060,150,16,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,20GP,520,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,40GP,570,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,40HQ,570,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,40RF,1050,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,40OT,710,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Bahrain,40FR,760,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,20GP,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,40GP,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,40HQ,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,40RF,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,40OT,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Damman,40FR,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,20GP,350,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,40GP,380,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,40HQ,380,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,40RF,700,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,40OT,470,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Hamad,40FR,510,150,2,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,20GP,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,40GP,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,40HQ,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,40RF,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,40OT,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Jebel Ali,40FR,0,150,0,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,20GP,1050,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,40GP,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,40HQ,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,40RF,2100,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,40OT,1420,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Nhava Sheva,40FR,1520,150,6,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,20GP,1580,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,40GP,1710,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,40HQ,1710,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,40RF,3150,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,40OT,2130,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Port Kelang,40FR,2280,150,9,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Qingdao,20GP,3150,150,18,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Qingdao,40GP,3420,150,18,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Qingdao,40HQ,3420,150,18,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Qingdao,40RF,6300,150,18,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Qingdao,40OT,4250,150,18,MOCK (replace with real 运价有效期),MOCK
