canonical,unlocode,country,src
Abidjan,CIABJ,CI,auto
Abu Dhabi,AEAUH,AE,auto
Acajutla,SVAQJ,SV,auto
Adelaide,AUADL,AU,auto
Ajman,AEAJM,AE,auto
Alexandria,USAXR,US,auto
Algeciras,ESALG,ES,auto
Algecirus,ESALG,ES,known
Alger,DZALG,DZ,known
Aliaga,TRALI,TR,auto
Altamira,MXATM,MX,known
Ancona,ITAOI,IT,auto
Antwerp,BEANR,BE,known
Apapa,NGAPP,NG,auto
Aqaba,JOAQJ,JO,known
Arica,CLARI,CL,known
Ashdod,ILASH,IL,auto
Auckland,NZAKL,NZ,auto
Bahrain,,,REVIEW(badcode)
Balboa,PABLB,PA,known
Baltimore,USBAL,US,known
Bangkok,THBKK,TH,auto
Barcelona,ESBCN,ES,auto
Bari,ITBRI,IT,auto
Barranquilla,COBAQ,CO,auto
Beira,MZBEW,MZ,auto
Beirut,LBBEY,LB,auto
Bell Bay,AUBEL,AU,auto
Bilbao,ESBIO,ES,auto
Boston,USBOS,US,known
Bremerhaven,DEBRV,DE,auto
Brisbane,AUBNE,AU,auto
Buenaventura,COBUN,CO,auto
Buenos Aires,ARBUE,AR,auto
Busan,KRPUS,KR,auto
Cai Mep,VNTOT,VN,auto
Callao,PECLL,PE,auto
Cape Town,ZACPT,ZA,auto
Capetown,ZACPT,ZA,auto
Cartagena,,,REVIEW(ambiguous)
Casablanca,MACAS,MA,auto
Caucedo,DOCAU,DO,auto
Cct,,,REVIEW(ambiguous)
Cebu,PHCEB,PH,auto
Chancay,PECHY,PE,auto
Charleston,USCHS,US,known
Chennai,INMAA,IN,known
Chittagong,BDCGP,BD,known
Colombo,LKCMB,LK,auto
Colon,,,REVIEW(ambiguous)
Colon Container T.,,,REVIEW(ambiguous)
Constanta,ROCND,RO,auto
Corinto,NICIO,NI,auto
Cotonou,BJCOO,BJ,auto
Da Nang,VNDAD,VN,auto
Dakar,SNDKR,SN,auto
Dalian,CNDAL,CN,auto
Dameitta,EGDAM,EG,known
Damietta,EGDAM,EG,known
Dammam,SADMM,SA,known
Damman,SADMM,SA,known
Danang,VNDAD,VN,auto
Dar Es Salaam,TZDAR,TZ,auto
Darwin,AUDRW,AU,auto
Davao,PHDVO,PH,known
Derince,TRDRC,TR,auto
Djibouti,DJJIB,DJ,known
Dublin,IEDUB,IE,known
Dunkerque,FRDKK,FR,auto
Dunkirk,USDKK,US,auto
Durban,ZADUR,ZA,auto
Durres,ALDRZ,AL,auto
Ensenada,MXESE,MX,auto
Felixstowe,GBFXT,GB,auto
Fos,FRFOS,FR,known
Fremantle,AUFRE,AU,auto
Gdansk,PLGDN,PL,auto
Gdynia,PLGDY,PL,auto
Gebze,TRGEB,TR,auto
Gemlik,TRGEM,TR,auto
Genoa,ITGOA,IT,known
Genova,ITGOA,IT,auto
Georgetown,,,REVIEW(ambiguous)
Gijon,ESGIJ,ES,auto
Gothenborg,SEGOT,SE,known
Guayaquil,ECGYE,EC,auto
Hai Phong,VNHPH,VN,auto
Haifa,ILHFA,IL,auto
Haiphong,VNHPH,VN,auto
Halifax,CAHAL,CA,auto
Hamad,QAHMD,QA,known
Hamburg,DEHAM,DE,auto
Hamburg Cta,DEHAM,DE,known
Hamburg Ctb,DEHAM,DE,known
Hamburg Ctt,DEHAM,DE,known
Hamburg Eurogate,DEHAM,DE,known
Hazira,,,REVIEW(badcode)
Helsingki,FIHEL,FI,known
Helsinki,FIHEL,FI,auto
Ho Chi Minh,VNSGN,VN,known
Hochiminh,VNSGN,VN,known
Hong Kong,HKHKG,HK,auto
Hongkong,HKHKG,HK,known
Houston,USHOU,US,auto
Imbituba,BRIBB,BR,auto
Incheon,KRINC,KR,auto
Inchon,KRINC,KR,known
Iquique,CLIQQ,CL,auto
Iskenderun,TRISK,TR,auto
Istanbul,TRIST,TR,auto
Itapoa,BRIOA,BR,auto
Izmit,TRIZT,TR,known
Jakarta,IDJKT,ID,known
Jebel Ali,AEJEA,AE,auto
Jeddah,SAJED,SA,auto
Jiangyin,CNJGY,CN,auto
Jubail,SAJUB,SA,auto
Kao Hsiung,TWKHH,TW,auto
Kaohsiung,TWKHH,TW,auto
Kaosiung,TWKHH,TW,known
Karachi,PKKHI,PK,auto
Kattupalli,INKAT,IN,auto
Keelung,TWKEL,TW,known
Khalifa,AEKHL,AE,known
Kingston,JMKIN,JM,known
Klaipeda,LTKLJ,LT,auto
Kobe,JPUKB,JP,auto
Kolkata,INCCU,IN,known
Koper,SIKOP,SI,auto
Kotka,FIKTK,FI,auto
Kribi,CMKBI,CM,auto
Kumport,TRKMX,TR,auto
Kwangyang,KRKWA,KR,auto
La Spezia,ITSPE,IT,auto
Lae,PGLAE,PG,auto
Laem Chabang,THLCH,TH,auto
Laemchabang,THLCH,TH,auto
Lautoka,FJLTK,FJ,auto
Lazaro Cardenas,MXLZC,MX,auto
Le Haver,FRLEH,FR,known
Le Havre,FRLEH,FR,auto
Leam Chabang,THLCH,TH,known
Lekki,NGLKK,NG,known
Lianyungang,CNLYG,CN,auto
Limassol,CYLMS,CY,auto
Lirquen,CLLQN,CL,auto
